"","income","sex","eth","fedu","parocc"
"560",3877.81853262842,1,1,2,108
"561",6241.56853262842,1,1,7,1010
"562",2860.78113262842,2,1,7,77
"563",7356.54463262842,2,1,6,38
"564",29031.6857326284,2,4,6,107
"565",7517.10123262842,1,1,1,95
"566",3204.37273262842,2,1,1,1010
"567",11290.1817326284,1,1,1,99
"568",12886.8277326284,2,1,9,103
"569",4520.62173262842,1,1,1,1010
"570",4832.23843262842,1,1,1,1010
"571",14522.1263992951,1,3,11,107
"572",11332.6727326284,1,4,9,96
"573",2936.42933262842,1,1,1,98
"574",13213.0917326284,1,1,9,35
"575",2341.33273262842,1,1,1,1010
"576",2539.84683262842,1,4,1,107
"577",666.68663262842,2,1,9,99
"578",6910.55433262842,1,1,7,1010
"579",1752.36203262842,1,3,1,109
"580",11608.3217326284,1,1,1,1010
"581",1349.78423262842,1,1,1,107
"582",3484.51703262842,1,1,9,109
"583",6527.00213262842,1,1,9,108
"584",9586.49723262842,1,1,1,1010
"585",7285.18623262842,1,1,1,109
"586",1220.88583262842,1,1,1,1010
"587",2932.31853262842,1,1,3,1010
"588",12053.2547326284,2,1,9,102
"589",20254.5917326284,2,1,1,28
"590",22252.6287326284,1,1,11,28
"591",3453.81093262842,1,1,1,1010
"592",12223.8727326284,1,1,3,910
"593",3754.38103262842,1,1,1,1010
"594",4828.55193262842,2,1,1,1010
"595",6459.53923262842,1,3,1,97
"596",854.00261262842,1,1,1,910
"597",8203.92693262842,2,1,5,98
"598",18968.1657326284,1,1,1,99
"599",1201.87533262842,2,1,1,108
"600",10879.8707326284,1,1,1,98
"601",2629.04513262842,1,1,1,103
"602",11727.2517326284,1,2,8,87
"603",6196.96943262842,2,1,1,108
"604",3026.19813262842,1,1,1,109
"605",9565.57053262842,2,1,1,105
"606",5095.47773262842,2,1,11,97
"607",11490.9307326284,1,1,6,105
"608",3057.19593262842,1,3,1,99
"609",10316.4557326284,1,1,1,1010
"610",1906.54033262842,1,1,1,910
"611",1362.43183262842,2,1,1,1010
"612",3623.73283262842,1,1,1,1010
"613",3476.42693262842,1,1,1,1010
"614",4257.56463262842,2,3,9,99
"615",6210.04953262842,1,1,7,109
"616",17449.2540659618,1,1,1,99
"617",1844.10163262842,2,1,1,1010
"618",8426.92203262842,1,1,12,95
"619",12665.6167326284,1,3,6,99
"620",1980.95453262842,2,1,1,910
"621",7310.16183262842,2,1,1,98
"622",14559.0627326284,2,1,1,107
"623",4145.41273262842,1,1,1,1010
"624",9764.89373262842,1,1,4,107
"625",10888.7897326284,2,3,1,99
"626",12315.9587326284,1,1,1,1010
"627",10603.3727326284,1,1,1,97
"628",1960.21993262842,1,1,1,910
"629",1469.46953262842,2,1,1,108
"630",2047.11613262842,1,1,1,1010
"631",6428.88443262842,1,1,9,107
"632",4618.16273262842,2,1,1,106
"633",13035.4910659618,2,1,9,1010
"634",16448.1287326284,1,1,6,98
"635",17525.1287326284,1,3,11,109
"636",978.87993262842,1,1,8,109
"637",3117.85463262842,1,1,1,1010
"638",3842.13933262842,1,1,1,910
"639",13957.2057326284,2,1,9,109
"640",3253.43183262842,2,1,1,107
"641",12779.7897326284,2,1,6,93
"642",1005.63943262842,2,1,1,1010
"643",16187.1577326284,2,2,1,109
"644",6196.96943262842,2,1,1,910
"645",738.04509262842,1,1,1,1010
"646",28728.4127326284,2,3,8,99
"647",3485.34683262842,1,1,1,97
"648",2487.22523262842,2,1,1,106
"649",2513.08753262842,1,1,9,1010
"650",3726.18183262842,1,1,1,1010
"651",3598.80733262842,1,3,1,910
"652",6712.01773262842,2,3,12,98
"653",27051.4867326284,2,1,1,95
"654",3325.51233262842,1,1,5,107
"655",2058.17713262842,1,3,1,99
"656",3788.62053262842,1,1,5,1010
"657",4858.99773262842,1,1,11,98
"658",845.08281262842,2,1,4,99
"659",238.53569262842,1,1,1,1010
"660",2218.73383262842,1,1,9,108
"661",11080.5657326284,2,1,1,1010
"662",1380.27153262842,1,1,1,1010
"663",29566.8727326284,1,1,9,105
"664",12069.1783992951,1,1,9,47
"665",7980.93133262842,2,3,12,94
"666",10951.3270659618,2,1,1,107
"667",22680.7797326284,1,1,1,910
"668",1374.48763262842,2,1,1,99
"669",6196.96943262842,1,1,1,44
"670",2413.10103262842,1,1,6,1010
"671",6245.66083262842,1,1,1,1010
"672",2223.57833262842,1,1,1,1010
"673",5929.37513262842,2,1,1,1010
"674",1971.77773262842,2,1,1,1010
"675",1779.76103262842,1,1,1,1010
"676",11125.2427326284,1,3,1,99
"677",2093.85633262842,2,1,5,109
"678",1335.67243262842,1,1,1,28
"679",5840.17693262842,2,3,10,97
"680",3748.59543262842,1,1,1,99
"681",13985.1857326284,1,1,1,510
"682",1680.54513262842,1,1,1,109
